file,num,CDPSA,GD,IGD,HV,GS,,,,,,,,,,,,,,,
DTLZ2,6,PSA,0.083996045,0.005107412,0.237330111,0.032953054,,,,,,,,,,,,,,,
DTLZ2,6,PSA,0.071984468,0.004441401,0.472102895,0.036320694,,,,,,,,,,,,,,,
DTLZ2,6,PSA,0.081184096,0.005866984,0.237062464,0.028983631,,,,,,,,,,,,,,,
DTLZ2,6,PSA,0.093017779,0.005658111,0.277010759,0.027802282,,,,,,,,,,,,,,,
DTLZ2,6,PSA,0.076393046,0.004545746,0.461124732,0.024752907,,,,,,,,,,,,,,,
DTLZ2,6,PSA,0.07021991,0.003954803,0.498024516,0.025253411,,,,,,,,,,,,,,,
DTLZ2,7,CD,0.08395033,0.007835308,0.034733313,0.041871164,,,,,,,,,,,,,,,
DTLZ2,7,CD,0.081759447,0.007579234,0.029882802,0.043941561,,,,,,,,,,,,,,,
DTLZ2,7,CD,0.084178103,0.007847622,0.060104524,0.038472488,,,,,,,,,,,,,,,
DTLZ2,7,CD,0.081044435,0.006838232,0.061077334,0.035450922,,,,,,,,,,,,,,,
DTLZ2,7,CD,0.079515364,0.006221849,0.051838335,0.038099274,,,,,,,,,,,,,,,
DTLZ2,7,CD,0.087051476,0.006996735,0.018153903,0.041852876,,,,,,,,,,,,,,,
DTLZ2,7,CD,0.087207978,0.006673412,0.010485544,0.047050982,,,,,,,,,,,,,,,
DTLZ2,7,CD,0.082366002,0.006274779,0.033736624,0.038902032,,,,,,,,,,,,,,,
DTLZ2,7,CD,0.084691974,0.006826419,0.052959795,0.040546233,,,,,,,,,,,,,,,
DTLZ2,7,CD,0.08424741,0.007813339,0.012179688,0.036583001,,,,,,,,,,,,,,,
DTLZ2,7,CD,0.087637346,0.007323821,0.041177548,0.040643726,,,,,,,,,,,,,,,
DTLZ2,7,CD,0.08400212,0.006767789,0.038145387,0.042482665,,,,,,,,,,,,,,,
DTLZ2,7,CD,0.081556153,0.006383817,0.04792907,0.039437379,,,,,,,,,,,,,,,
DTLZ2,7,CD,0.092333411,0.008486434,0.022777907,0.041452135,,,,,,,,,,,,,,,
DTLZ2,7,CD,0.088619468,0.007364393,0.005371963,0.050569238,,,,,,,,,,,,,,,
DTLZ2,7,CD,0.084721448,0.007434843,0.006856336,0.046403927,,,,,,,,,,,,,,,
DTLZ2,7,CD,0.080252865,0.008200703,0.020289102,0.03752037,,,,,,,,,,,,,,,
DTLZ2,7,CD,0.084026836,0.006994425,0.08549711,0.043547056,,,,,,,,,,,,,,,
DTLZ2,7,CD,0.080905298,0.007541663,0.031856499,0.039355363,,,,,,,,,,,,,,,
DTLZ2,7,CD,0.083226268,0.005913139,0.114442117,0.041389131,,,,,,,,,,,,,,,
DTLZ2,7,PSA,0.099610088,0.007209985,0.072447083,0.034019507,,,,,,,,,,,,,,,
DTLZ2,7,PSA,0.087265487,0.004977131,0.242479943,0.033426501,,,,,,,,,,,,,,,
DTLZ2,7,PSA,0.093855258,0.00566121,0.118279234,0.033596206,,,,,,,,,,,,,,,
DTLZ2,7,PSA,0.091510357,0.006958385,0.084389004,0.030775436,,,,,,,,,,,,,,,
DTLZ2,7,PSA,0.101578396,0.006707826,0.209225767,0.030187987,,,,,,,,,,,,,,,
DTLZ2,7,PSA,0.098354414,0.004311983,0.464028459,0.035116629,,,,,,,,,,,,,,,
DTLZ2,7,PSA,0.097494751,0.004975888,0.354872167,0.028260906,,,,,,,,,,,,,,,
DTLZ2,7,PSA,0.092171575,0.006584861,0.08281917,0.033795711,,,,,,,,,,,,,,,
DTLZ2,7,PSA,0.093834087,0.005409791,0.229751444,0.03385046,,,,,,,,,,,,,,,
DTLZ2,7,PSA,0.075273748,0.004845142,0.2581815,0.033831038,,,,,,,,,,,,,,,
DTLZ2,7,PSA,0.097709015,0.005522014,0.136817354,0.031771253,,,,,,,,,,,,,,,
DTLZ2,7,PSA,0.104584651,0.00591684,0.275040223,0.030642939,,,,,,,,,,,,,,,
DTLZ2,7,PSA,0.105088907,0.005770838,0.225073251,0.032016108,,,,,,,,,,,,,,,
DTLZ2,7,PSA,0.09175147,0.006558506,0.149842523,0.037908852,,,,,,,,,,,,,,,
DTLZ2,7,PSA,0.091364549,0.004915948,0.251999242,0.032385689,,,,,,,,,,,,,,,
DTLZ2,7,PSA,0.101637239,0.006972543,0.213936895,0.030702837,,,,,,,,,,,,,,,
DTLZ2,7,PSA,0.081937221,0.004837332,0.274770014,0.031768293,,,,,,,,,,,,,,,
DTLZ2,7,PSA,0.094980283,0.004593541,0.309783733,0.02991865,,,,,,,,,,,,,,,
DTLZ2,7,PSA,0.101435599,0.007344516,0.081858093,0.032463399,,,,,,,,,,,,,,,
DTLZ2,7,PSA,0.103149754,0.005088282,0.270624757,0.038902813,,,,,,,,,,,,,,,
DTLZ2,8,CD,0.090868295,0.009063963,0.017653331,0.048198987,,,,,,,,,,,,,,,
DTLZ2,8,CD,0.089265317,0.008825467,0.031038841,0.041908563,,,,,,,,,,,,,,,
DTLZ2,8,CD,0.094665181,0.008675676,0.013689215,0.051298267,,,,,,,,,,,,,,,
DTLZ2,8,CD,0.097754427,0.0083794,0.051769295,0.046896698,,,,,,,,,,,,,,,
DTLZ2,8,CD,0.093455411,0.007319664,0.011109517,0.046588168,,,,,,,,,,,,,,,
DTLZ2,8,CD,0.08741089,0.007730133,0.041778088,0.04977885,,,,,,,,,,,,,,,
DTLZ2,8,CD,0.097203964,0.008049638,0.014222762,0.048102706,,,,,,,,,,,,,,,
DTLZ2,8,CD,0.091595653,0.007387763,0.025724261,0.049555215,,,,,,,,,,,,,,,
DTLZ2,8,CD,0.090063868,0.00655273,0.062007161,0.045197447,,,,,,,,,,,,,,,
DTLZ2,8,CD,0.09643415,0.009154314,0.004603862,0.042145747,,,,,,,,,,,,,,,
DTLZ2,8,CD,0.095558718,0.008698652,0.005765137,0.048938335,,,,,,,,,,,,,,,
DTLZ2,8,CD,0.097359526,0.0071364,0.009156187,0.04306168,,,,,,,,,,,,,,,
DTLZ2,8,CD,0.094728343,0.00828886,0.00952397,0.050518833,,,,,,,,,,,,,,,
DTLZ2,8,CD,0.094345438,0.006655959,0.022629256,0.052259666,,,,,,,,,,,,,,,
