file,num,CDPSA,GD,IGD,HV,GS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,6,CD,0.071831359,0.002406035,0.023220062,0.049774009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,6,CD,0.073726023,0.002555392,0.089916145,0.048722114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,6,CD,0.07101512,0.001885682,0.072687712,0.041440866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,6,CD,0.076161318,0.003118937,0.086053786,0.06464854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,6,CD,0.070767487,0.002525542,0.049155517,0.056684661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,6,CD,0.071485573,0.002846279,0,0.062551246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,6,CD,0.068616151,0.003114631,0.088765863,0.069876828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,6,CD,0.070519751,0.002743205,0.004097031,0.051506322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,6,CD,0.080239895,0.002509588,0.018485364,0.096869299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,6,CD,0.073937598,0.00231548,0.003964579,0.058426355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,6,CD,0.064797782,0.001563115,0.09448644,0.032181309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,6,CD,0.06616758,0.004315142,0.033159286,0.065407333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,6,CD,0.070737573,0.00242264,0.057905891,0.058169978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,6,CD,0.066799147,0.003579576,0.018746992,0.047033945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
